;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rama de actividad económica / período;Años;;;;;;;Trimestres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2016;2017;2018;2019;2020;2021;2022;2016-I  ;2016-II  ;2016-III  ;2016-IV  ;2017-I  ;2017-II  ;2017-III  ;2017-IV  ;2018-I;2018-II  ;2018-III  ;2018-IV  ;2019-I  ;2019-II ;2019-III ;2019-IV;2020-I  ;2020-II  ;2020-III  ;2020-IV ;2021-I  ;2021-II  ;2021-III  ;2021-IV  ;2022-I  ;2022-II;2022-III ;2022-IV ;2023-I  ;2023-II  ;2023-III
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agricultura, silvicultura, caza y pesca; 42.035,6 ; 124.576,9 ; 69.794,3 ; 97.896,1 ; -10.222,8 ; 7.259,1 ; 61.023,7 ; 8.306,9 ; 2.546,0 ; 5.010,0 ; 26.172,7 ; 40.483,1 ; 24.517,8 ; 33.099,9 ; 26.476,1 ; 26.526,3 ; 19.929,9 ; 14.698,9 ; 8.639,2 ; 25.316,0 ; 1.553,2 ; 10.958,1 ; 60.068,8 ; 11.439,9 ; 297,3 ; 7.038,6 ; -28.998,6 ; 5.201,0 ; 707,6 ; -1.639,4 ; 2.989,9 ; 15.617,3 ; -128,5 ; 24.929,4 ; 20.605,5 ; 475,2 ; 1.058,0 ; 11.971,8 
Comercio; 123.036,9 ; 100.581,5 ; 89.277,7 ; 77.020,0 ; 102.770,4 ; 55.437,1 ; 67.250,7 ; 25.316,9 ; 31.431,0 ; 58.338,1 ; 7.950,8 ; 59.156,5 ; 15.190,4 ; 15.613,4 ; 10.621,2 ; 15.041,2 ; 8.754,5 ; 9.293,3 ; 56.188,7 ; 18.970,5 ; -2.121,1 ; 5.086,3 ; 55.084,3 ; 24.271,6 ; 1.617,1 ; 15.948,5 ; 60.933,1 ; 17.310,4 ; 10.055,0 ; 3.830,5 ; 24.241,1 ; 39.807,8 ; 7.701,7 ; 11.483,0 ; 8.258,2 ; 8.565,2 ; 32.239,4 ; 17.627,3 
Construcción; 30.464,8 ; 59.133,0 ; 88.986,3 ; 69.231,6 ; 176.787,7 ; 93.566,5 ; 6.687,4 ; 13.565,5 ; 13.041,1 ; 4.191,0 ; -332,8 ; -3.161,9 ; 16.254,8 ; 26.776,7 ; 19.263,3 ; 16.440,8 ; -159,9 ; 47.371,0 ; 25.334,3 ; -9.702,4 ; 1.444,6 ; -6.707,3 ; 84.196,7 ; 7.243,4 ; -3.173,0 ; 170.974,6 ; 1.742,6 ; 50.910,1 ; 37.745,9 ; 5.116,2 ; -205,8 ; 1.264,0 ; 292,7 ; 3.616,9 ; 1.513,9 ; -303,7 ; -1.524,2 ; -134,8 
Electricidad, gas y agua; 1.194,8 ; 2.129,4 ; 8.073,4 ; 6.705,7 ; 11.846,7 ; 802,4 ; 7.452,7 ; -3.416,1 ; 4.505,5 ; 0,4 ; 105,0 ; 1.692,0 ; 191,1 ; 121,6 ; 124,7 ; 10,3 ; -6.711,2 ; 10.806,1 ; 3.968,1 ; 1.055,2 ; -7.620,7 ; 12.608,5 ; 662,6 ; 6.860,4 ; 241,6 ; 1.040,6 ; 3.704,1 ; 225,7 ; 10,0 ; 0,4 ; 566,3 ; 2.253,9 ; 88,2 ; 5.256,5 ; -145,9 ; -1.799,7 ; 400,8 ; 404,9 
Explotación de minas y canteras; 467.231,5 ; 68.394,4 ; 808.236,7 ; 425.656,3 ; 534.697,7 ; 108.664,2 ; -188.222,6 ; 123.558,0 ; 82.561,7 ; 11.733,2 ; 249.378,5 ; -2.002,3 ; 40.756,7 ; 28.735,1 ; 904,9 ; 197.262,0 ; 82.838,3 ; 70.026,3 ; 458.110,2 ; 110.939,7 ; 172.437,5 ; 99.599,7 ; 42.679,4 ; 80.162,5 ; 39.690,6 ; 316.797,5 ; 98.047,2 ; 54.614,0 ; 844,2 ; 54.623,8 ; -1.417,8 ; 50.307,9 ; -111.459,6 ; -27.238,7 ; -99.832,2 ; 10.488,7 ; 45.248,2 ; 79.578,2 
Industria manufacturera; 37.991,6 ; 143.902,1 ; 104.831,2 ; 110.183,1 ; 37.657,4 ; 194.196,7 ; 77.245,9 ; 28.140,9 ; -17.740,1 ; 4.944,1 ; 22.646,8 ; 74.230,9 ; 28.970,1 ; 14.047,0 ; 26.654,2 ; 25.135,0 ; 29.279,3 ; 18.011,8 ; 32.405,0 ; 32.669,7 ; 62.326,7 ; 7.928,5 ; 7.258,1 ; 17.968,8 ; 30.146,3 ; -10.448,4 ; -9,4 ; 23.391,0 ; 30.291,0 ; 89.547,3 ; 50.967,4 ; 3.887,7 ; 224,9 ; 17.113,0 ; 56.020,3 ; 16.561,8 ; 583,3 ; 15.031,7 
Servicios comunales, sociales y personales; -1.968,5 ; -3.890,7 ; -1.222,0 ; -6.788,6 ; 35.024,9 ; 7.371,3 ; -8.361,1 ; -3.978,5 ; -2.794,0 ; 8.681,7 ; -3.877,7 ; -940,4 ; -199,6 ; -1.520,5 ; -1.230,2 ; -1.709,7 ; 3.976,5 ; -1.895,3 ; -1.593,5 ; -2.042,5 ; -1.649,5 ; -1.498,5 ; -1.598,1 ; -906,7 ; 5.534,0 ; 14.378,6 ; 16.019,0 ; 735,9 ; 5.390,9 ; 176,1 ; 1.068,4 ; -8.402,0 ; 8,1 ; 0,4 ; 32,4 ; 1.015,9 ; 138,4 ; 35.828,4 
Servicios prestados a las empresas 2/; 25.141,5 ; 87.555,6 ; 167.844,2 ; 100.397,0 ; 202.716,3 ; 135.501,3 ; 804.366,0 ; 3.025,9 ; 19.297,4 ; 7.802,2 ; -4.984,0 ; 11.007,9 ; 20.520,2 ; 39.136,5 ; 16.891,0 ; 48.840,3 ; 27.359,9 ; 79.753,6 ; 11.890,4 ; 28.131,8 ; 22.803,7 ; 21.445,2 ; 28.016,3 ; 110.683,3 ; 98.880,3 ; 3.797,6 ; -10.644,9 ; 52.485,4 ; 59.040,1 ; -1.610,7 ; 25.586,6 ; 16.558,5 ; 752.853,1 ; 31.310,0 ; 3.644,4 ; -26.610,0 ; 1.702,5 ; -15.080,2 
Transporte, almacenamiento y comunicaciones; 39.080,6 ; 47.210,3 ; 53.646,0 ; 98.864,3 ; 3.572,8 ; 45.211,6 ; 17.610,2 ; 5.270,4 ; 4.025,1 ; 26.387,2 ; 3.397,8 ; 3.320,4 ; 39.580,0 ; 3.725,5 ; 584,4 ; 4.581,8 ; 56.296,9 ; -17.540,4 ; 10.307,7 ; 3.900,6 ; 31.477,9 ; 2.771,9 ; 60.713,9 ; 15.665,4 ; 1.390,1 ; 11.852,7 ; -25.335,5 ; 44.377,2 ; -5.617,4 ; 5.551,1 ; 900,7 ; 15.455,4 ; 25.342,2 ; 2.637,0 ; -25.824,4 ; 14.832,8 ; 8.287,7 ; 9.756,1 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL; 764.208,9 ; 629.592,4 ; 1.389.467,8 ; 979.165,5 ; 1.094.850,9 ; 648.010,2 ; 845.052,8 ; 199.789,9 ; 136.873,8 ; 127.088,0 ; 300.457,1 ; 183.786,2 ; 185.781,4 ; 159.735,2 ; 100.289,6 ; 332.128,0 ; 221.564,4 ; 230.525,3 ; 605.250,1 ; 209.238,7 ; 280.652,3 ; 152.192,5 ; 337.082,1 ; 273.388,6 ; 174.624,4 ; 531.380,3 ; 115.457,6 ; 249.250,8 ; 138.467,3 ; 155.595,3 ; 104.696,8 ; 136.750,5 ; 674.922,6 ; 69.107,5 ; -35.727,8 ; 23.226,1 ; 88.134,2 ; 154.983,4 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/  Datos sujetos a revisión;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/ La rama servicios  prestados a empresas incluye las actividades financieras y de seguros. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuente: BCE-SIGADE, Agencia de Regulación y Control Hidrocarburífero (ARCH), MERNNR y Superintendencia de Compañías, Valores y Seguros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
